input,output,task,file
"[[0, 0, 0, 0, 0, 0, 6, 6, 6, 6, 0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0, 0, 0, 6, 6, 6, 6, 0, 0, 0, 0]]",1d_move_1p,1d_move_1p_34.json
"[[0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",1d_move_1p,1d_move_1p_34.json
"[[0, 8, 8, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 8, 8, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0]]",1d_move_1p,1d_move_1p_34.json
"[[0, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0]]","[[0, 0, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0]]",1d_move_1p,1d_move_1p_39.json
"[[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]]",1d_move_1p,1d_move_1p_39.json
"[[0, 0, 7, 0, 7, 0, 0, 0]]","[[0, 0, 7, 7, 7, 0, 0, 0]]",1d_fill,1d_fill_25.json
"[[0, 0, 0, 0, 6, 0, 6, 0]]","[[0, 0, 0, 0, 6, 6, 6, 0]]",1d_fill,1d_fill_25.json
"[[0, 0, 0, 7, 0, 0, 7, 0]]","[[0, 0, 0, 7, 7, 7, 7, 0]]",1d_fill,1d_fill_25.json
"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0]]",1d_fill,1d_fill_40.json
"[[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]]","[[0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0]]",1d_fill,1d_fill_40.json
"[[0, 6, 2, 2, 2, 2, 0, 0, 0, 0, 0]]","[[0, 2, 2, 2, 2, 6, 0, 0, 0, 0, 0]]",1d_flip,1d_flip_40.json
"[[0, 0, 0, 0, 3, 4, 4, 4, 4, 0, 0]]","[[0, 0, 0, 0, 4, 4, 4, 4, 3, 0, 0]]",1d_flip,1d_flip_40.json
"[[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 0]]","[[0, 0, 0, 0, 0, 0, 0, 6, 6, 5, 0]]",1d_flip,1d_flip_40.json
"[[2, 4, 4, 4, 4, 4, 4, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[4, 4, 4, 4, 4, 4, 4, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",1d_flip,1d_flip_47.json
"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 0, 0]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 0, 0]]",1d_flip,1d_flip_47.json
